Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
Canada,a00i000000ayKttAAE,Jan,2016,168301.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Feb,2016,167460.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Mar,2016,172846.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Apr,2016,238866.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,May,2016,296507.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Jun,2016,281916.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Jul,2016,503350.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Aug,2016,263159.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Sep,2016,450503.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Oct,2016,444449.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Nov,2016,290952.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayKttAAE,Dec,2016,225134.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Jan,2016,272692,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Feb,2016,321048.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Mar,2016,318021.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Apr,2016,358633.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,May,2016,341232.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Jun,2016,246101.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Jul,2016,353326.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Aug,2016,1074668,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Sep,2016,1192252,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Oct,2016,637824.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Nov,2016,591324.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOP2AAM,Dec,2016,622182.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Jan,2016,640710.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Feb,2016,934385.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Mar,2016,693890,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Apr,2016,882772.3,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,May,2016,1407921,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Jun,2016,1119014,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Jul,2016,917831.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Aug,2016,876921.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Sep,2016,983398,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Oct,2016,1490221,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Nov,2016,1632110,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOVyAAM,Dec,2016,1796425,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Jan,2016,1274676,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Feb,2016,1413584,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Mar,2016,1678418,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Apr,2016,1995045,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,May,2016,2589178,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Jun,2016,1910500,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Jul,2016,1858559,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Aug,2016,2281956,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Sep,2016,2467037,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Oct,2016,2284529,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Nov,2016,2741387,USD,Cartesis,Q3RF 2016,Xaxis,Market
Canada,a00i000000ayOX1AAM,Dec,2016,2465204,USD,Cartesis,Q3RF 2016,Xaxis,Market
